SINE TEST

----------------------------------------------------------------------


Max Epoch:
100000

Learning Rate:
0.02

Before Training:

Target:	[-0.65505034]	 Output:	 [2.31163268]
Target:	[0.51698212]	 Output:	 [0.21925273]
Target:	[0.89782629]	 Output:	 [-4.32329035]
Target:	[-0.40383275]	 Output:	 [0.86681301]
Target:	[-0.488117]	 Output:	 [-4.51634707]
Target:	[-0.22854006]	 Output:	 [-2.16194375]
Target:	[-0.69048022]	 Output:	 [0.69331691]
Target:	[0.96737478]	 Output:	 [3.43074324]
Target:	[-0.33878449]	 Output:	 [-0.30909513]
Target:	[-0.33541444]	 Output:	 [-2.23036723]
Target:	[-0.67349711]	 Output:	 [-3.39975314]
Target:	[0.44321068]	 Output:	 [0.30280985]
Target:	[0.99905375]	 Output:	 [3.71150396]
Target:	[-0.29669927]	 Output:	 [0.16679039]
Target:	[-0.84714183]	 Output:	 [3.84564184]
Target:	[0.99307795]	 Output:	 [-0.54353366]
Target:	[-0.4722222]	 Output:	 [-0.21468788]
Target:	[0.46686961]	 Output:	 [-2.16828758]
Target:	[-0.89440326]	 Output:	 [0.27149393]
Target:	[-0.3476884]	 Output:	 [-0.60898887]
Target:	[-0.02856851]	 Output:	 [-1.55361366]
Target:	[-0.1309531]	 Output:	 [-4.48932672]
Target:	[-0.41665503]	 Output:	 [-0.26369739]
Target:	[-0.73334508]	 Output:	 [-1.94921021]
Target:	[-0.9233609]	 Output:	 [-1.94962636]
Target:	[0.30909187]	 Output:	 [-0.80999921]
Target:	[0.99942934]	 Output:	 [1.68385713]
Target:	[0.59254039]	 Output:	 [0.01811897]
Target:	[0.75204321]	 Output:	 [1.41589501]
Target:	[-0.99422432]	 Output:	 [-1.542793]
Target:	[0.38378135]	 Output:	 [4.64845837]
Target:	[0.23473482]	 Output:	 [-1.73762734]
Target:	[0.56190645]	 Output:	 [-2.73457866]
Target:	[0.3992229]	 Output:	 [-3.16772724]
Target:	[-0.99082805]	 Output:	 [0.46328753]
Target:	[-0.83342539]	 Output:	 [2.24707627]
Target:	[0.92325272]	 Output:	 [-2.70522519]
Target:	[-0.44157546]	 Output:	 [1.22386548]
Target:	[0.99512357]	 Output:	 [-2.73434665]
Target:	[0.45724255]	 Output:	 [1.64959822]
Target:	[0.66010917]	 Output:	 [-0.01784561]
Target:	[-0.71693632]	 Output:	 [-1.13622272]
Target:	[0.16824977]	 Output:	 [0.90329054]
Target:	[-0.8751636]	 Output:	 [1.61915261]
Target:	[0.0107309]	 Output:	 [-3.35544105]
Target:	[0.37424695]	 Output:	 [-0.99596391]
Target:	[0.78808872]	 Output:	 [-2.0245177]
Target:	[-0.94861643]	 Output:	 [-3.77656165]
Target:	[-0.93209632]	 Output:	 [-1.08988132]
Target:	[-0.99843473]	 Output:	 [0.0911277]
Target:	[0.44380789]	 Output:	 [-2.81716421]
Target:	[-0.79301648]	 Output:	 [1.23324484]
Target:	[0.96369561]	 Output:	 [-3.05183224]
Target:	[0.97925288]	 Output:	 [1.85204614]
Target:	[0.9983713]	 Output:	 [2.5036797]
Target:	[-0.73645531]	 Output:	 [0.04158898]
Target:	[0.25993322]	 Output:	 [-0.18420625]
Target:	[-0.96136614]	 Output:	 [1.78294254]
Target:	[-0.80616775]	 Output:	 [0.38535775]
Target:	[0.99999227]	 Output:	 [3.71211016]
Target:	[0.6748621]	 Output:	 [-3.45868033]
Target:	[-0.61847961]	 Output:	 [1.26903246]
Target:	[-0.47215111]	 Output:	 [-0.77344835]
Target:	[-0.16695877]	 Output:	 [-3.6567653]
Target:	[0.88923028]	 Output:	 [-0.82131196]
Target:	[-0.32476063]	 Output:	 [0.48818356]
Target:	[-0.43128595]	 Output:	 [-1.07534525]
Target:	[0.40167016]	 Output:	 [-0.98916225]
Target:	[0.12767061]	 Output:	 [-1.74672625]
Target:	[0.98587161]	 Output:	 [-0.05133734]
Target:	[0.84393192]	 Output:	 [-0.17993987]
Target:	[-0.5471658]	 Output:	 [-1.02213482]
Target:	[-0.19304647]	 Output:	 [-2.90240782]
Target:	[0.94472463]	 Output:	 [1.13428537]
Target:	[-0.36745362]	 Output:	 [-1.55122746]
Target:	[0.85554368]	 Output:	 [-3.24979846]
Target:	[-0.30787119]	 Output:	 [0.68868641]
Target:	[-0.70446542]	 Output:	 [1.91990365]
Target:	[0.89155525]	 Output:	 [-0.36020825]
Target:	[-0.15743016]	 Output:	 [-2.1963234]
Target:	[-0.35509283]	 Output:	 [2.97923938]
Target:	[-0.02685045]	 Output:	 [2.30366831]
Target:	[0.57132403]	 Output:	 [1.47562521]
Target:	[-0.9960371]	 Output:	 [1.46558085]
Target:	[-0.42303786]	 Output:	 [-1.19168135]
Target:	[-0.84936625]	 Output:	 [0.02063703]
Target:	[-0.90155621]	 Output:	 [-3.79994021]
Target:	[0.85621707]	 Output:	 [-1.15956691]
Target:	[-0.23469665]	 Output:	 [-3.55331141]
Target:	[0.84637246]	 Output:	 [0.14340213]
Target:	[-0.99911699]	 Output:	 [2.93714695]
Target:	[-0.23501804]	 Output:	 [2.35110695]
Target:	[0.75507196]	 Output:	 [-2.65271021]
Target:	[-0.68562434]	 Output:	 [1.51015136]
Target:	[-0.54165578]	 Output:	 [2.03859521]
